conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,keyword,keyword_file,layer,app_detected,has_aksesibilitas
374887179454930944,2013-09-03T13:30:43.000Z,0,"Dkt bca klo tunanetra, ng mog yo akeh kog RT @doni_asmara29 Ngendi kui nggene pijet...? Ngrti awkmu...? @Tea_Saktii",374887179454930944,,,in,,0,0,0,https://x.com/Tea_Saktii/status/374887179454930944,371556092,Tea_Saktii,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
373652539998085120,2013-08-31T03:44:42.000Z,0,"Laah kn lu tuch? Hahaa (ˇ▽ˇ)♉  ""@RidhoKeeBO: Tunanetra dong :p""@ndaalubis: Knpa gak d raba ajj skalian bca ny boo ._.",373652539998085120,,,in,,0,0,0,https://x.com/ndaalubis/status/373652539998085120,341887879,ndaalubis,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
373651971003011072,2013-08-31T03:42:26.000Z,0,"Tunanetra dong :p""@ndaalubis: Knpa gak d raba ajj skalian bca ny boo ._. ""@RidhoKeeBO: Drpd bacanya ke",373651971003011072,,,in,,0,0,0,https://x.com/RidhoKeeBO/status/373651971003011072,445592258,RidhoKeeBO,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
373283784738619393,2013-08-30T03:19:24.000Z,0,Dukung Petisi melawan diskriminasi Bank BCA atas larangan tunanetra buka acount!,373283784738619393,,,in,,0,0,0,https://x.com/EdnoGina/status/373283784738619393,159194148,EdnoGina,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
373239916181725184,2013-08-30T00:25:05.000Z,0,"Ditolak Jadi Nasabah BCA, Mahasiswa Tunanetra Buat Petisi - http://t.co/5hdKJhMKna",373239916181725184,,,in,,0,1,0,https://x.com/MahasiswaYeah/status/373239916181725184,264709914,MahasiswaYeah,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
372979444249423872,2013-08-29T07:10:03.000Z,0,"BCA MEMALUKAN!
Ditolak Jadi Nasabah BCA, Mahasiswa Tunanetra Buat Petisi  http://t.co/VwY9QVeKY6 via @republikaonline",372979444249423872,,,in,,0,0,0,https://x.com/elbadamhuri/status/372979444249423872,196137416,elbadamhuri,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
372899218718859265,2013-08-29T01:51:16.000Z,0,Buta bukan miskin ! Presdir BCA: Ubah kebijakan diskriminatif menolak tunanetra menabung. @HaloBCA https://t.co/dWMsnqS72L via @change,372899218718859265,,,in,,0,1,0,https://x.com/AlfManroe/status/372899218718859265,218465801,AlfManroe,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
372647118353473538,2013-08-28T09:09:31.000Z,0,"Karena nggak bisa tandatangan ?""@Ray_Nia: Duh.... benarkah kabar krn tunanetra kemudian ditolak buka tabungan di BCA?""",372647118353473538,,,in,,0,0,0,https://x.com/adeirfan/status/372647118353473538,53642794,adeirfan,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
2047664946696388847,2026-04-24T13:12:21.000Z,0,Al-Qur’an Braille: Akses Mandiri bagi Tunanetra Difabel via @mubadalah_id https://t.co/phfSbssyW5,2047664946696388847,,,in,,0,0,0,https://x.com/mubadalah_id/status/2047664946696388847,1202121263776329729,mubadalah_id,tunanetra Mandiri,aksesibilitas_mandiri_tunanetra,Aksesibilitas,Mandiri,True
2024839120993103892,2026-02-21T07:46:16.000Z,0,"@BANGSAygSUJUD @AswinbaharD @alwie191 @are_inismyname @99propaganda @Ndons_Back @Kimberley_PS08 @khus_mub @jametkunx @IrawanRommi @florieliciouss 🤣🤣😂
Tenang aja, yg inovasi AI fokus bikin tunanetra bisa mandiri, bkn fokus bikin drama buzzer...

Kalau ikut politik, baru deh muncul kata ""TOLOL"" tanpa henti, tapi untungnya mereka di Solve for Tomorrow, bukan di timeline buzzer.. 🤣",2025114834648613034,,BANGSAygSUJUD,in,,0,0,0,https://x.com/WarisanKakung/status/2025114834648613034,1497946866285449223,WarisanKakung,tunanetra Mandiri,aksesibilitas_mandiri_tunanetra,Aksesibilitas,Mandiri,True
